variant,sensing,noise_pct,seed,epochs,train_time_s,test_cv_rmse,test_nmbe,test_r2,test_mae_kW,test_n,train_cv_rmse,train_nmbe,train_r2,train_mae_kW,train_n,err_C_z,err_C_w,err_R_zw,err_R_wo,err_R_inf,rec_C_z,rec_C_w,rec_R_zw,rec_R_wo,rec_R_inf,rec_R_s,err_R_s,err_G_s,err_G_inf
V4F_fixed_Qint,S1,5,0,600,3.2,23.1288,-12.7809,0.8532,12.3096,429,20.2671,-10.1783,0.8643,12.3229,1711,0.0,0.0,146.79,105.16,33.53,35000000.0,200000000.0,0.0011105693411082,0.0057444968260824,0.0002326400135643,0.0068550661671906,110.92511283663384,52.58980846085775,50.44703386903069
V5_wrong_constraints,S1,5,0,600,6.1,298.7593,200.6131,-23.4922,135.7613,429,350.9272,265.7144,-39.6745,193.6478,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711084077134,0.0091535719111561,2.2994507162366062e-05,0.0106246803188695,226.91324058060002,69.41084435050738,1422.1026375065223
V1_blackbox,S1,10,0,600,4.9,15.0729,8.8503,0.9406,7.3277,429,11.9592,0.0187,0.9535,5.9336,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,10,0,600,7.4,12.1642,1.4365,0.9613,5.114,429,11.6639,0.0888,0.9557,5.7616,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,10,0,600,2.9,32.5762,-21.3662,0.7227,17.6157,429,30.9294,-12.7162,0.6888,18.2963,1711,60.0,60.0,48.76,48.76,47.9,56000000.0,320000000.0,0.0006694293697364,0.0041653364896774,0.0001823438797146,0.0048347658594138,48.76202644350155,32.77854410111905,91.94502198144025
V4_neural_forcing,S1,10,0,600,7.0,13.2341,4.0084,0.9542,5.9956,429,12.0539,-0.6499,0.9527,5.8937,1711,0.0,0.0,145.34,139.45,126.98,35000000.0,200000000.0,0.0011040315730497,0.0067044659517705,0.0007944309618324,0.0078084975248202,140.26146230216,58.378676695875164,55.943308252651036
V4F_fixed_Qint,S1,10,0,600,3.2,24.1909,-14.0637,0.8471,12.9429,429,22.3518,-10.2252,0.8375,13.3785,1711,0.0,0.0,153.98,112.74,32.54,35000000.0,200000000.0,0.0011429190635681,0.0059566614218056,0.0002361006190767,0.007099580485373701,118.4486303191908,54.222647286053984,48.24188152014054
V5_wrong_constraints,S1,10,0,600,6.3,295.187,198.3367,-21.7705,135.2845,429,354.8291,268.6288,-39.9627,194.175,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711149269714,0.0091536100953817,2.2994507162366062e-05,0.0106247250223531,226.9146160724031,69.41097305424466,1422.1026375065223
V1_blackbox,S2,0,0,600,5.2,10.8266,8.8983,0.9679,5.6538,429,5.7561,0.0042,0.9888,2.8442,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,0,0,600,7.3,5.4305,1.6755,0.9919,2.5162,429,5.2742,0.0815,0.9906,2.5136,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,0,0,600,2.9,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S2,0,0,600,7.3,7.6462,4.9495,0.984,3.8263,429,6.137,-0.649,0.9873,2.9835,1711,0.0,0.0,146.92,141.67,128.15,35000000.0,200000000.0,0.0011111247586086,0.006766804959625,0.0007985095726326,0.0078779297182336,142.3978374841108,58.7455065449769,56.168340118191985
V4F_fixed_Qint,S2,0,0,600,3.0,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S2,0,0,600,5.7,298.0092,200.0662,-23.3576,135.5906,429,352.2139,266.6913,-40.8629,193.8113,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711102703586,0.0091535812243819,2.299450534337666e-05,0.010624691494740499,226.91358445355382,69.41087652654352,1422.102757913051
V1_blackbox,S2,5,0,600,5.3,12.8554,9.7421,0.9547,6.4898,429,7.8712,0.0112,0.9795,3.9696,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,5,0,600,7.2,7.8882,2.224,0.9829,3.5186,429,7.5677,0.0987,0.9811,3.7516,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,5,0,600,3.0,31.8502,-20.1181,0.7216,17.0041,429,29.6046,-12.6632,0.7105,17.6665,1711,60.0,60.0,44.54,44.54,48.41,56000000.0,320000000.0,0.0006504281773231,0.0040471036918461,0.0001805638457881,0.0046975318691692,44.53944212828308,30.81473227823377,93.83725378265432
V4_neural_forcing,S2,5,0,600,6.6,9.7967,5.505,0.9737,4.7386,429,8.2419,-0.7436,0.9776,4.0985,1711,0.0,0.0,144.72,138.76,125.7,35000000.0,200000000.0,0.0011012591421604,0.0066854199394583,0.0007899531628936,0.0077866790816187,139.59012558826768,58.26205284776693,55.69357571555897
V4F_fixed_Qint,S2,5,0,600,3.1,23.1288,-12.7809,0.8532,12.3096,429,20.2671,-10.1783,0.8643,12.3229,1711,0.0,0.0,146.79,105.16,33.53,35000000.0,200000000.0,0.0011105693411082,0.0057444968260824,0.0002326400135643,0.0068550661671906,110.92511283663384,52.58980846085775,50.44703386903069
V5_wrong_constraints,S2,5,0,600,6.1,298.7593,200.6131,-23.4922,135.7613,429,350.9272,265.7144,-39.6745,193.6478,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711084077134,0.0091535719111561,2.2994507162366062e-05,0.0106246803188695,226.91324058060002,69.41084435050738,1422.1026375065223
V1_blackbox,S2,10,0,600,5.3,15.0729,8.8503,0.9406,7.3277,429,11.9592,0.0187,0.9535,5.9336,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,10,0,600,7.0,12.1642,1.4365,0.9613,5.114,429,11.6639,0.0888,0.9557,5.7616,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,10,0,600,2.9,32.5762,-21.3662,0.7227,17.6157,429,30.9294,-12.7162,0.6888,18.2963,1711,60.0,60.0,48.76,48.76,47.9,56000000.0,320000000.0,0.0006694293697364,0.0041653364896774,0.0001823438797146,0.0048347658594138,48.76202644350155,32.77854410111905,91.94502198144025
V4_neural_forcing,S2,10,0,600,8.8,13.2369,4.0112,0.9542,6.0018,429,12.0554,-0.6455,0.9527,5.8969,1711,0.0,0.0,145.42,139.56,127.06,35000000.0,200000000.0,0.0011043946724385,0.0067077302373945,0.0007947031408548,0.007812124909833,140.37307414870767,58.39800262398166,55.9583972924113
V4F_fixed_Qint,S2,10,0,600,3.1,24.1909,-14.0637,0.8471,12.9429,429,22.3518,-10.2252,0.8375,13.3785,1711,0.0,0.0,153.98,112.74,32.54,35000000.0,200000000.0,0.0011429190635681,0.0059566614218056,0.0002361006190767,0.007099580485373701,118.4486303191908,54.222647286053984,48.24188152014054
V5_wrong_constraints,S2,10,0,600,6.3,295.187,198.3367,-21.7705,135.2845,429,354.8291,268.6288,-39.9627,194.175,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711149269714,0.0091536100953817,2.2994507162366062e-05,0.0106247250223531,226.9146160724031,69.41097305424466,1422.1026375065223
V1_blackbox,S3,0,0,600,5.2,10.8266,8.8983,0.9679,5.6538,429,5.7561,0.0042,0.9888,2.8442,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,0,0,600,7.4,5.4305,1.6755,0.9919,2.5162,429,5.2742,0.0815,0.9906,2.5136,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,0,0,600,2.9,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S3,0,0,600,6.1,7.6421,4.9466,0.984,3.8248,429,6.1359,-0.6516,0.9873,2.9828,1711,0.0,0.0,146.91,141.66,128.13,35000000.0,200000000.0,0.001111086923629,0.0067665041424334,0.0007984501426108,0.0078775910660624,142.38741741730465,58.7437330429427,56.16507765211767
V4F_fixed_Qint,S3,0,0,600,3.1,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S3,0,0,600,6.0,298.0092,200.0662,-23.3576,135.5906,429,352.2139,266.6913,-40.8629,193.8113,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711102703586,0.0091535812243819,2.299450534337666e-05,0.010624691494740499,226.91358445355382,69.41087652654352,1422.102757913051
V1_blackbox,S3,5,0,600,5.3,12.8554,9.7421,0.9547,6.4898,429,7.8712,0.0112,0.9795,3.9696,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,5,0,600,7.4,7.8882,2.224,0.9829,3.5186,429,7.5677,0.0987,0.9811,3.7516,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,5,0,600,2.9,31.8502,-20.1181,0.7216,17.0041,429,29.6046,-12.6632,0.7105,17.6665,1711,60.0,60.0,44.54,44.54,48.41,56000000.0,320000000.0,0.0006504281773231,0.0040471036918461,0.0001805638457881,0.0046975318691692,44.53944212828308,30.81473227823377,93.83725378265432
V4_neural_forcing,S3,5,0,600,6.1,9.788,5.4813,0.9737,4.732,429,8.236,-0.7456,0.9776,4.0934,1711,0.0,0.0,144.72,138.77,125.7,35000000.0,200000000.0,0.0011012613540515,0.0066854460164904,0.0007899369811639,0.0077867073705419,139.59099601667387,58.26220448073903,55.692668105713075
V4F_fixed_Qint,S3,5,0,600,3.1,23.1288,-12.7809,0.8532,12.3096,429,20.2671,-10.1783,0.8643,12.3229,1711,0.0,0.0,146.79,105.16,33.53,35000000.0,200000000.0,0.0011105693411082,0.0057444968260824,0.0002326400135643,0.0068550661671906,110.92511283663384,52.58980846085775,50.44703386903069
V5_wrong_constraints,S3,5,0,600,6.3,298.7593,200.6131,-23.4922,135.7613,429,350.9272,265.7144,-39.6745,193.6478,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711084077134,0.0091535719111561,2.2994507162366062e-05,0.0106246803188695,226.91324058060002,69.41084435050738,1422.1026375065223
V1_blackbox,S3,10,0,600,4.9,15.0729,8.8503,0.9406,7.3277,429,11.9592,0.0187,0.9535,5.9336,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,10,0,600,5.0,12.1642,1.4365,0.9613,5.114,429,11.6639,0.0888,0.9557,5.7616,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,10,0,600,2.0,32.5762,-21.3662,0.7227,17.6157,429,30.9294,-12.7162,0.6888,18.2963,1711,60.0,60.0,48.76,48.76,47.9,56000000.0,320000000.0,0.0006694293697364,0.0041653364896774,0.0001823438797146,0.0048347658594138,48.76202644350155,32.77854410111905,91.94502198144025
V4_neural_forcing,S3,10,0,600,4.1,13.2348,4.0094,0.9542,5.9987,429,12.0546,-0.6483,0.9527,5.8966,1711,0.0,0.0,145.42,139.57,127.06,35000000.0,200000000.0,0.0011044044513255,0.0067078769207,0.0007947079720906,0.007812281372025501,140.3778883700154,58.39883581718245,55.95866503273249
V4F_fixed_Qint,S3,10,0,600,2.2,24.1909,-14.0637,0.8471,12.9429,429,22.3518,-10.2252,0.8375,13.3785,1711,0.0,0.0,153.98,112.74,32.54,35000000.0,200000000.0,0.0011429190635681,0.0059566614218056,0.0002361006190767,0.007099580485373701,118.4486303191908,54.222647286053984,48.24188152014054
V5_wrong_constraints,S3,10,0,600,2.8,295.187,198.3367,-21.7705,135.2845,429,354.8291,268.6288,-39.9627,194.175,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711149269714,0.0091536100953817,2.2994507162366062e-05,0.0106247250223531,226.9146160724031,69.41097305424466,1422.1026375065223
V1_blackbox,S1,0,1,600,2.0,10.4572,8.5756,0.97,5.4984,429,5.732,-0.0062,0.9889,2.8275,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,0,1,600,2.8,5.4274,1.5511,0.9919,2.5607,429,5.2867,0.0897,0.9906,2.5232,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,0,1,600,2.1,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S1,0,1,600,3.2,8.2812,5.7862,0.9812,4.2404,429,6.0765,-0.6396,0.9875,2.9636,1711,0.0,0.0,146.55,140.95,126.33,35000000.0,200000000.0,0.0011094912188127,0.0067465007305145,0.0007921535288915,0.0078559919493272,141.72282921006772,58.63030383733609,55.81664573409495
V4F_fixed_Qint,S1,0,1,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S1,0,1,600,2.8,298.0224,200.0788,-23.3598,135.5973,429,352.2285,266.7043,-40.8663,193.8209,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711513649672,0.0091538373380899,2.2993872335064225e-05,0.0106249887030571,226.92272932483388,69.41173218316095,1422.1446605418948
V1_blackbox,S1,5,1,600,2.6,13.4437,10.2197,0.9507,6.9889,429,7.8829,0.0102,0.9794,3.9868,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,5,1,600,6.7,8.185,1.5923,0.9817,3.5787,429,7.4413,0.0787,0.9816,3.6619,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,5,1,600,2.2,31.6922,-20.0861,0.726,16.9891,429,29.2213,-12.6418,0.7165,17.4074,1711,60.0,60.0,44.31,44.31,48.36,56000000.0,320000000.0,0.0006493877153843,0.0040406319312751,0.0001807297230698,0.0046900196466594,44.30829682028923,30.703915018460414,93.6593461523901
V4_neural_forcing,S1,5,1,600,3.2,10.6064,6.3505,0.9693,5.2721,429,8.058,-0.6406,0.9784,3.9819,1711,0.0,0.0,145.03,138.56,125.28,35000000.0,200000000.0,0.0011026351712644,0.0066796103492379,0.0007884674705564,0.007782245520502299,139.4537083231477,58.23827465430272,55.61009007093032
V4F_fixed_Qint,S1,5,1,600,2.3,22.9831,-12.7431,0.8559,12.2837,429,20.2178,-10.1551,0.8643,12.3189,1711,0.0,0.0,146.4,104.75,33.46,35000000.0,200000000.0,0.0011088217142969,0.0057328972034156,0.0002328938862774,0.0068417189177125,110.5144282373077,52.49731771958523,50.28303473072492
V5_wrong_constraints,S1,5,1,600,2.9,299.0844,200.8036,-23.4043,135.6569,429,351.1125,265.9113,-39.924,193.643,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711478725075,0.0091538168489933,2.2993877792032436e-05,0.010624964721500799,226.92199143079384,69.41166314253012,1422.144299302477
V1_blackbox,S1,10,1,600,2.0,16.6192,9.6015,0.9275,8.3024,429,12.1738,0.0153,0.952,6.1129,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,10,1,600,5.8,14.1583,2.7376,0.9474,6.1762,429,11.9731,0.0955,0.9535,5.9181,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,10,1,600,2.2,33.2162,-20.6237,0.7104,17.7751,429,31.0477,-12.7292,0.6876,18.5715,1711,60.0,60.0,46.48,46.48,48.34,56000000.0,320000000.0,0.0006591656128875,0.0041014710441231,0.0001808080414775,0.0047606366570106,46.481127908018465,31.731820045245605,93.57546110224
V4_neural_forcing,S1,10,1,600,3.2,14.7737,5.3505,0.9427,6.8494,429,12.4879,-0.7031,0.9495,6.1548,1711,0.0,0.0,146.26,140.44,125.3,35000000.0,200000000.0,0.0011081839911639,0.0067324182018637,0.0007885325467213,0.0078406021930276,141.24929824700308,58.54910222469745,55.61375348991086
V4F_fixed_Qint,S1,10,1,600,2.3,25.1212,-13.3099,0.8344,13.4246,429,22.5371,-10.2432,0.8354,13.6059,1711,0.0,0.0,150.12,108.66,33.36,35000000.0,200000000.0,0.0011255608405917,0.0058424826711416,0.000233234008192,0.0069680435117333,114.40133882256309,53.358500208452874,50.063879068560766
V5_wrong_constraints,S1,10,1,600,4.1,297.0758,199.4331,-22.1637,135.2095,429,351.9151,266.3168,-39.1312,193.7485,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711556723341,0.0091538652777671,2.2993872335064225e-05,0.0106250209501012,226.92372154157542,69.41182501885753,1422.1446605418948
V1_blackbox,S2,0,1,600,5.2,10.4572,8.5756,0.97,5.4984,429,5.732,-0.0062,0.9889,2.8275,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,0,1,600,7.3,5.4274,1.5511,0.9919,2.5607,429,5.2867,0.0897,0.9906,2.5232,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,0,1,600,2.2,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S2,0,1,600,4.4,8.2894,5.7967,0.9812,4.2446,429,6.0786,-0.6334,0.9875,2.9645,1711,0.0,0.0,146.66,141.09,126.42,35000000.0,200000000.0,0.0011099504772573,0.006750548724085,0.0007924868841655,0.0078604992013423,141.86151388745543,58.65402544096674,55.835231220444115
V4F_fixed_Qint,S2,0,1,600,2.2,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S2,0,1,600,5.1,298.0224,200.0788,-23.3598,135.5973,429,352.2285,266.7043,-40.8663,193.8209,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711513649672,0.0091538373380899,2.2993872335064225e-05,0.0106249887030571,226.92272932483388,69.41173218316095,1422.1446605418948
V1_blackbox,S2,5,1,600,5.2,13.4437,10.2197,0.9507,6.9889,429,7.8829,0.0102,0.9794,3.9868,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,5,1,600,7.3,8.185,1.5923,0.9817,3.5787,429,7.4413,0.0787,0.9816,3.6619,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,5,1,600,2.2,31.6922,-20.0861,0.726,16.9891,429,29.2213,-12.6418,0.7165,17.4074,1711,60.0,60.0,44.31,44.31,48.36,56000000.0,320000000.0,0.0006493877153843,0.0040406319312751,0.0001807297230698,0.0046900196466594,44.30829682028923,30.703915018460414,93.6593461523901
V4_neural_forcing,S2,5,1,600,4.4,10.6139,6.3597,0.9693,5.2768,429,8.0606,-0.6351,0.9784,3.9827,1711,0.0,0.0,145.13,138.69,125.36,35000000.0,200000000.0,0.0011030654422938,0.0066834390163421,0.0007887650863267,0.0077865044586359,139.58475257341232,58.26111681737404,55.626839211410925
V4F_fixed_Qint,S2,5,1,600,2.3,22.9831,-12.7431,0.8559,12.2837,429,20.2178,-10.1551,0.8643,12.3189,1711,0.0,0.0,146.4,104.75,33.46,35000000.0,200000000.0,0.0011088217142969,0.0057328972034156,0.0002328938862774,0.0068417189177125,110.5144282373077,52.49731771958523,50.28303473072492
V5_wrong_constraints,S2,5,1,600,2.8,299.0844,200.8036,-23.4043,135.6569,429,351.1125,265.9113,-39.924,193.643,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711478725075,0.0091538168489933,2.2993877792032436e-05,0.010624964721500799,226.92199143079384,69.41166314253012,1422.144299302477
V1_blackbox,S2,10,1,600,2.0,16.6192,9.6015,0.9275,8.3024,429,12.1738,0.0153,0.952,6.1129,1711,,,,,,,,,,,,,,
V2_soft_physics,S2,10,1,600,2.8,14.1583,2.7376,0.9474,6.1762,429,11.9731,0.0955,0.9535,5.9181,1711,,,,,,,,,,,,,,
V3_hard_arch,S2,10,1,600,2.2,33.2162,-20.6237,0.7104,17.7751,429,31.0477,-12.7292,0.6876,18.5715,1711,60.0,60.0,46.48,46.48,48.34,56000000.0,320000000.0,0.0006591656128875,0.0041014710441231,0.0001808080414775,0.0047606366570106,46.481127908018465,31.731820045245605,93.57546110224
V4_neural_forcing,S2,10,1,600,4.4,14.7727,5.3644,0.9427,6.8518,429,12.485,-0.6939,0.9495,6.1535,1711,0.0,0.0,146.34,140.56,125.33,35000000.0,200000000.0,0.0011085354490205,0.0067356112413108,0.0007886466337367,0.0078441466903313,141.3583597025016,58.56783244497517,55.62017448275166
V4F_fixed_Qint,S2,10,1,600,2.3,25.1212,-13.3099,0.8344,13.4246,429,22.5371,-10.2432,0.8354,13.6059,1711,0.0,0.0,150.12,108.66,33.36,35000000.0,200000000.0,0.0011255608405917,0.0058424826711416,0.000233234008192,0.0069680435117333,114.40133882256309,53.358500208452874,50.063879068560766
V5_wrong_constraints,S2,10,1,600,2.8,297.0758,199.4331,-22.1637,135.2095,429,351.9151,266.3168,-39.1312,193.7485,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711556723341,0.0091538652777671,2.2993872335064225e-05,0.0106250209501012,226.92372154157542,69.41182501885753,1422.1446605418948
V1_blackbox,S3,0,1,600,2.0,10.4572,8.5756,0.97,5.4984,429,5.732,-0.0062,0.9889,2.8275,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,0,1,600,2.8,5.4274,1.5511,0.9919,2.5607,429,5.2867,0.0897,0.9906,2.5232,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,0,1,600,2.2,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S3,0,1,600,4.4,8.2866,5.7932,0.9812,4.2435,429,6.0782,-0.6359,0.9875,2.9643,1711,0.0,0.0,146.65,141.09,126.41,35000000.0,200000000.0,0.0011099368566647,0.0067504029721021,0.0007924469537101,0.007860339828766801,141.8566101159016,58.65318712931666,55.83300581050121
V4F_fixed_Qint,S3,0,1,600,2.3,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S3,0,1,600,4.0,298.0224,200.0788,-23.3598,135.5973,429,352.2285,266.7043,-40.8663,193.8209,1711,60.0,60.0,226.92,226.92,93.43,14000000.0,320000000.0,0.0014711513649672,0.0091538373380899,2.2993872335064225e-05,0.0106249887030571,226.92272932483388,69.41173218316095,1422.1446605418948
V1_blackbox,S3,5,1,600,5.2,13.4437,10.2197,0.9507,6.9889,429,7.8829,0.0102,0.9794,3.9868,1711,,,,,,,,,,,,,,
V2_soft_physics,S3,5,1,600,7.3,8.185,1.5923,0.9817,3.5787,429,7.4413,0.0787,0.9816,3.6619,1711,,,,,,,,,,,,,,
V3_hard_arch,S3,5,1,600,2.2,31.6922,-20.0861,0.726,16.9891,429,29.2213,-12.6418,0.7165,17.4074,1711,60.0,60.0,44.31,44.31,48.36,56000000.0,320000000.0,0.0006493877153843,0.0040406319312751,0.0001807297230698,0.0046900196466594,44.30829682028923,30.703915018460414,93.6593461523901
V4_neural_forcing,S3,5,1,600,4.5,10.6121,6.3561,0.9693,5.2742,429,8.0597,-0.6362,0.9784,3.9824,1711,0.0,0.0,145.14,138.7,125.36,35000000.0,200000000.0,0.0011031121248379,0.0066835642792284,0.0007887628162279,0.007786676404066301,139.59004320204005,58.262038495617865,55.626711503236834
V4F_fixed_Qint,S3,5,1,600,2.3,22.9831,-12.7431,0.8559,12.2837,429,20.2178,-10.1551,0.8643,12.3189,1711,0.0,0.0,146.4,104.75,33.46,35000000.0,200000000.0,0.0011088217142969,0.0057328972034156,0.0002328938862774,0.0068417189177125,110.5144282373077,52.49731771958523,50.28303473072492
